"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
9.900049582E-1;9.333231978E-3;-3.122954026E-2;2.837057340E-1;2.855719470E-1
9.999349583E-1;-2.025493775E-3;5.787720233E-3;2.216468954E-1;2.217316995E-1
1.009863958E0;2.114248113E-2;4.531007409E-2;2.585662150E-1;2.633562129E-1
1.019793958E0;-2.070316109E-2;3.423252404E-3;2.687315995E-1;2.695496468E-1
1.029722958E0;-3.350800834E-2;-3.761791572E-2;2.006220621E-1;2.068504436E-1
1.039652958E0;3.750088918E-3;-3.143404663E-2;2.502158064E-1;2.522104522E-1
1.049581958E0;-9.313324036E-3;-2.384786904E-2;2.315783912E-1;2.329892919E-1
1.059511958E0;7.300822043E-3;-4.818588093E-2;2.059196395E-1;2.116083152E-1
1.069440958E0;1.503584325E-2;-4.346001506E-2;2.351615649E-1;2.396159659E-1
1.079369958E0;2.285294017E-2;-2.209092692E-2;2.603086853E-1;2.622420210E-1
1.089299958E0;3.503834573E-2;-3.157891139E-2;3.218798661E-1;3.253176318E-1
1.099228958E0;1.712770977E-2;-1.728290766E-2;3.181323856E-1;3.190615491E-1
1.109158958E0;5.919353392E-3;-9.969941229E-3;2.968251318E-1;2.970515062E-1
1.119087958E0;-6.132267416E-4;-2.347467050E-2;3.003299528E-1;3.012466046E-1
1.129017958E0;1.112572106E-3;-6.681057841E-2;2.507683682E-1;2.595181414E-1
1.138946958E0;8.075029941E-3;-6.763635144E-2;2.502526438E-1;2.593574134E-1
1.148876958E0;5.712492149E-3;-6.740845621E-2;2.353305495E-1;2.448611853E-1
1.158805958E0;-2.000956025E-3;-7.546182632E-2;3.213062543E-1;3.300548441E-1
1.168735958E0;2.766395384E-4;-5.814792842E-2;4.035245383E-1;4.076926675E-1
1.178664958E0;8.724913700E-4;-1.650756687E-2;3.697755790E-1;3.701448903E-1
1.188594958E0;-6.733454831E-3;1.453530103E-2;3.569491267E-1;3.573084010E-1
1.198523958E0;-1.540611589E-2;-1.537174523E-2;2.962181908E-1;2.970165913E-1
1.208453958E0;-1.118315853E-2;-3.508621752E-3;2.674107134E-1;2.676674488E-1
1.218382958E0;-5.355467100E-3;1.494694501E-3;3.143691176E-1;3.144182839E-1
1.228312958E0;2.077920001E-3;-3.291163802E-2;3.688657522E-1;3.703369234E-1
1.238241958E0;7.442831725E-3;-6.882333621E-2;3.782148653E-1;3.844977655E-1
1.248171958E0;5.669866861E-3;-6.826536566E-2;3.507721281E-1;3.573980881E-1
1.258100958E0;-2.358104414E-3;-5.371997818E-2;2.512992954E-1;2.569878063E-1
1.268029958E0;2.733038845E-3;-7.057296932E-2;2.966900611E-1;3.049803368E-1
1.277960167E0;6.649357709E-4;-5.842771769E-2;3.764647937E-1;3.809724153E-1
1.287889167E0;1.085023498E-2;-5.500768125E-2;4.191512221E-1;4.228845228E-1
1.297819167E0;7.953300504E-3;-4.891254365E-2;3.391887939E-1;3.427896291E-1
1.307748167E0;1.783368797E-2;-2.285588890E-2;3.168138385E-1;3.181374551E-1
1.317678167E0;2.412721977E-2;-1.244682178E-2;2.955749971E-1;2.968191790E-1
1.327607167E0;1.947542624E-2;-2.788142458E-2;3.862325674E-1;3.877270460E-1
1.337537167E0;-1.573784945E-3;-7.187236682E-2;4.697407472E-1;4.752099362E-1
1.347466167E0;-1.006340988E-2;-6.662770674E-2;3.535027778E-1;3.598676666E-1
1.357396167E0;2.775721236E-3;-3.552271217E-2;3.829774225E-1;3.846313480E-1
1.367325167E0;-4.175670287E-3;-3.221114159E-2;4.189851612E-1;4.202422625E-1
1.377255167E0;9.832412889E-4;-6.083603963E-2;4.152979070E-1;4.197312736E-1
1.387184167E0;-6.765137147E-4;-4.587783873E-2;3.662181330E-1;3.690812305E-1
1.397114167E0;4.113845117E-3;-3.170418799E-2;3.616812783E-1;3.630914848E-1
1.407043167E0;5.219644960E-4;-3.733461812E-2;4.573002112E-1;4.588220018E-1
1.416973167E0;-8.981357503E-3;-3.773763746E-2;4.184074563E-1;4.202018486E-1
1.426902167E0;-1.431899288E-2;-5.120026678E-2;3.250432098E-1;3.293623978E-1
1.436831167E0;-1.534238581E-3;-5.894885078E-2;3.895631415E-1;3.940009671E-1
1.446761167E0;1.085315402E-2;-7.050777286E-2;4.611301374E-1;4.666156241E-1
1.456690167E0;-4.573111930E-3;-6.603392199E-2;3.863231993E-1;3.919528116E-1
1.466620167E0;-7.773834381E-3;-5.445190340E-2;3.517328256E-1;3.560076164E-1
1.476549167E0;1.149995657E-2;-5.705596089E-2;4.741495478E-1;4.777085151E-1
1.486479167E0;1.118845072E-2;-7.860251203E-2;4.422477239E-1;4.493179116E-1
1.496408167E0;1.892586106E-3;-5.427882582E-2;3.781499612E-1;3.820303208E-1
1.506338167E0;-4.641935485E-4;-2.292766348E-2;4.673732096E-1;4.679354766E-1
1.516267167E0;7.298083445E-3;-6.958756730E-2;4.425704902E-1;4.480673280E-1
1.526197167E0;5.224720160E-3;-6.269896254E-2;4.186407602E-1;4.233421119E-1
1.536126167E0;9.345515699E-3;-3.555604130E-2;4.963759840E-1;4.977355605E-1
1.546056167E0;8.848778741E-3;-5.528235421E-2;4.233723271E-1;4.270580369E-1
1.555985167E0;1.871280999E-2;-7.742020503E-2;4.289125639E-1;4.362453953E-1
1.565915167E0;-6.515890444E-3;-4.819816008E-2;5.388484043E-1;5.410389286E-1
1.575844167E0;-3.261396450E-3;-3.816492274E-2;3.887310827E-1;3.906136873E-1
1.585773167E0;-9.709644201E-4;-4.028190717E-2;5.036288702E-1;5.052381753E-1
1.595703167E0;-1.610741175E-3;-9.327668443E-2;5.273188645E-1;5.355075342E-1
1.605632167E0;-9.280031451E-3;-9.175187677E-2;3.618964559E-1;3.734616053E-1
1.615562167E0;-8.642908784E-3;-1.571965456E-2;5.714390302E-1;5.717205372E-1
1.625491167E0;8.938702522E-5;-6.755375952E-2;4.572803307E-1;4.622432468E-1
1.635421167E0;-5.656907056E-4;-1.104816779E-1;4.315379637E-1;4.454565471E-1
1.645350167E0;-2.744806367E-3;-5.104399994E-2;5.854594839E-1;5.876868478E-1
